Species,Date,Colony,planula.number,Length,Width,Notes
P. astreoides,20180707,P-16-A,3,0.711,0.702,
P. astreoides,20180707,P-16-A,4,0.715,0.676,
P. astreoides,20180707,P-16-A,5,0.852,0.794,
P. astreoides,20180707,P-16-A,6,0.86,0.853,
P. astreoides,20180707,P-16-A,7,0.767,0.76,
P. astreoides,20180707,P-16-A,8,0.629,0.59,
P. astreoides,20180707,P-16-A,9,0.786,0.776,
P. astreoides,20180707,P-16-A,10,0.68,0.62,
P. astreoides,20180707,P-16-A,11,0.663,0.646,
P. astreoides,20180707,P-19-B,1,0.889,0.751,
P. astreoides,20180707,P-19-B,2,0.79,0.788,
P. astreoides,20180707,P-19-B,3,0.89,0.89,
P. astreoides,20180707,P-19-B,4,0.897,0.83,
P. astreoides,20180707,P-19-B,5,0.662,0.628,
P. astreoides,20180707,P-19-B,6,0.709,0.452,
P. astreoides,20180707,P-19-B,7,0.846,0.809,
P. astreoides,20180707,P-19-B,8,0.907,0.861,
P. astreoides,20180707,P-19-B,9,0.83,0.796,
P. astreoides,20180707,P-19-B,10,0.67,0.666,
P. astreoides,20180707,R-5-A,1,0.828,0.741,
P. astreoides,20180707,R-5-A,2,0.85,0.842,
P. astreoides,20180707,R-5-A,3,0.722,0.683,
P. astreoides,20180707,R-5-A,4,0.647,0.642,
P. astreoides,20180707,R-5-A,5,0.79,0.756,
P. astreoides,20180707,R-5-A,6,0.747,0.604,
P. astreoides,20180707,R-5-A,7,0.735,0.603,
P. astreoides,20180707,R-5-A,8,0.832,0.758,
P. astreoides,20180707,R-5-A,9,0.731,0.702,
P. astreoides,20180707,R-7-A,1,0.677,0.662,
P. astreoides,20180707,R-7-A,2,0.577,0.535,
P. astreoides,20180707,R-7-A,3,0.769,0.668,
P. astreoides,20180707,R-7-A,4,0.631,0.595,
P. astreoides,20180707,R-7-A,5,0.711,0.71,
P. astreoides,20180707,R-7-A,6,0.706,0.687,
P. astreoides,20180707,R-7-A,7,0.929,0.923,
P. astreoides,20180707,R-7-A,8,0.955,0.744,
P. astreoides,20180707,R-7-A,9,0.631,0.585,
P. astreoides,20180707,R-7-A,10,0.671,0.642,
P. astreoides,20180707,R-7-A,11,0.725,0.628,
P. astreoides,20180707,R-7-B,1,0.56,0.534,
P. astreoides,20180707,R-7-B,2,0.588,0.518,
P. astreoides,20180707,R-7-B,3,0.713,0.697,
P. astreoides,20180707,R-7-B,4,0.837,0.628,
P. astreoides,20180707,R-7-B,5,0.966,0.901,
P. astreoides,20180707,R-7-B,6,0.955,0.823,
P. astreoides,20180707,R-7-B,7,0.693,0.672,
P. astreoides,20180707,R-7-B,8,0.734,0.695,
P. astreoides,20180707,R-7-B,9,0.791,0.653,
P. astreoides,20180707,R-7-B,10,0.991,0.723,
P. astreoides,20180707,R-8-B,1,0.637,0.632,
P. astreoides,20180707,R-8-B,2,0.811,0.731,
P. astreoides,20180707,R-8-B,3,0.684,0.682,
P. astreoides,20180707,R-8-B,4,0.644,0.625,
P. astreoides,20180707,R-8-B,5,0.578,0.335,
P. astreoides,20180707,R-8-B,6,0.5,0.433,
P. astreoides,20180707,R-8-B,7,0.701,0.659,
P. astreoides,20180707,R-8-B,8,0.59,0.577,
P. astreoides,20180707,R-8-B,9,0.625,0.494,
P. astreoides,20180707,R-8-B,10,0.618,0.551,
P. astreoides,20180707,R-9-A,1,0.822,0.702,
P. astreoides,20180707,R-9-A,2,0.844,0.804,
P. astreoides,20180707,R-9-A,3,0.787,0.729,
P. astreoides,20180707,R-9-A,4,0.855,0.789,
P. astreoides,20180707,R-9-A,5,0.568,0.552,
P. astreoides,20180707,R-9-A,6,0.796,0.785,
P. astreoides,20180707,R-9-A,7,0.822,0.767,
P. astreoides,20180707,R-9-A,8,0.929,0.673,
P. astreoides,20180707,R-9-A,9,0.673,0.645,
P. astreoides,20180707,R-9-A,10,0.783,0.781,
P. astreoides,20180707,R-11-A,1,0.854,0.775,
P. astreoides,20180707,R-11-A,2,0.828,0.764,
P. astreoides,20180707,R-11-A,3,0.838,0.832,
P. astreoides,20180707,R-11-A,4,0.66,0.636,
P. astreoides,20180707,R-11-A,5,0.732,0.526,
P. astreoides,20180707,R-11-A,6,0.718,0.667,
P. astreoides,20180707,R-11-A,7,0.678,0.652,
P. astreoides,20180707,R-11-A,8,0.712,0.64,
P. astreoides,20180707,R-11-A,9,0.655,0.563,
P. astreoides,20180707,R-11-A,10,0.761,0.668,
P. astreoides,20180707,R-15-A,1,0.94,0.633,
P. astreoides,20180707,R-15-A,2,0.772,0.738,
P. astreoides,20180707,R-15-A,3,0.744,0.72,
P. astreoides,20180707,R-15-A,4,1.115,1.027,
P. astreoides,20180707,R-15-A,5,0.979,0.953,
P. astreoides,20180707,R-15-A,6,0.593,0.562,
P. astreoides,20180707,R-15-A,7,0.853,0.841,
P. astreoides,20180707,R-15-A,8,0.89,0.86,
P. astreoides,20180707,R-15-A,9,0.832,0.75,
P. astreoides,20180707,R-15-A,10,0.675,0.644,
P. astreoides,20180708,P-6-A,1,0.848,0.835,
P. astreoides,20180708,P-6-A,2,0.824,0.775,
P. astreoides,20180708,P-6-A,3,0.836,0.827,
P. astreoides,20180708,P-6-A,4,0.819,0.798,
P. astreoides,20180708,P-6-A,5,0.833,0.814,
P. astreoides,20180708,P-6-A,6,0.862,0.834,
P. astreoides,20180708,P-6-A,7,0.827,0.791,
P. astreoides,20180708,P-6-A,8,0.823,0.802,
P. astreoides,20180708,P-6-A,9,0.703,0.697,
P. astreoides,20180708,P-6-A,10,0.831,0.829,
P. astreoides,20180708,P-10-B,1,0.765,0.743,
P. astreoides,20180708,P-10-B,2,0.842,0.732,
P. astreoides,20180708,P-10-B,3,0.857,0.801,
P. astreoides,20180708,P-10-B,4,0.616,0.586,
P. astreoides,20180708,P-10-B,5,0.754,0.695,
P. astreoides,20180708,P-10-B,6,0.759,0.74,
P. astreoides,20180708,P-10-B,7,0.7,0.698,
P. astreoides,20180708,P-10-B,8,0.67,0.472,
P. astreoides,20180708,P-10-B,9,0.722,0.683,
P. astreoides,20180708,P-10-B,10,0.728,0.661,
P. astreoides,20180708,R-19-A,1,0.897,0.821,
P. astreoides,20180708,R-19-A,2,1.122,0.961,
P. astreoides,20180708,R-19-A,3,0.79,0.722,
P. astreoides,20180708,R-19-A,4,0.892,0.828,
P. astreoides,20180708,R-19-A,5,0.899,0.897,
P. astreoides,20180708,R-19-A,6,1.014,0.982,
P. astreoides,20180708,R-19-A,7,0.954,0.875,
P. astreoides,20180708,R-19-A,8,0.9,0.838,
P. astreoides,20180708,R-19-A,9,0.782,0.728,
P. astreoides,20180708,R-19-A,10,0.908,0.863,
P. astreoides,20180708,P-19-B,1,0.942,0.794,
P. astreoides,20180708,P-19-B,2,0.879,0.876,
P. astreoides,20180708,P-19-B,3,0.825,0.777,
P. astreoides,20180708,P-19-B,4,0.844,0.815,
P. astreoides,20180708,P-19-B,5,0.97,0.848,
P. astreoides,20180708,P-19-B,6,0.945,0.906,
P. astreoides,20180708,P-19-B,7,0.713,0.701,
P. astreoides,20180708,P-19-B,8,0.812,0.769,
P. astreoides,20180708,P-19-B,9,0.796,0.774,
P. astreoides,20180708,P-19-B,10,0.933,0.83,
P. astreoides,20180708,R-8-A,1,1.035,1.005,
P. astreoides,20180708,R-8-A,2,0.734,0.73,
P. astreoides,20180708,R-8-A,3,0.95,0.93,
P. astreoides,20180708,R-8-A,4,0.914,0.913,
P. astreoides,20180708,R-8-A,5,0.917,0.876,
P. astreoides,20180708,R-8-A,6,0.986,0.978,
P. astreoides,20180708,R-8-A,7,0.75,0.606,
P. astreoides,20180708,R-8-A,8,0.842,0.838,
P. astreoides,20180708,R-8-A,9,0.927,0.904,
P. astreoides,20180708,R-8-A,10,0.875,0.88,
P. astreoides,20180708,R-9-A,1,0.77,0.736,
P. astreoides,20180708,R-9-A,2,0.728,0.671,
P. astreoides,20180708,R-9-A,3,0.81,0.797,
P. astreoides,20180708,R-9-A,4,0.679,0.42,
P. astreoides,20180708,R-9-A,5,0.728,0.673,
P. astreoides,20180708,R-9-A,6,0.722,0.769,
P. astreoides,20180708,R-9-A,7,0.721,0.705,
P. astreoides,20180708,R-9-A,8,0.715,0.659,
P. astreoides,20180708,R-9-A,9,0.756,0.482,
P. astreoides,20180708,R-9-A,10,0.709,0.692,
P. astreoides,20180708,P-3-A,1,0.591,0.561,
P. astreoides,20180708,P-3-A,2,0.68,0.641,
P. astreoides,20180708,P-3-A,3,0.647,0.614,
P. astreoides,20180708,P-3-A,4,0.812,0.808,
P. astreoides,20180708,P-3-A,5,0.836,0.779,
P. astreoides,20180708,P-3-A,6,0.8,0.728,
P. astreoides,20180708,P-3-A,7,0.868,0.835,
P. astreoides,20180708,P-3-A,8,1.022,0.747,
P. astreoides,20180708,P-3-A,9,0.937,0.897,
P. astreoides,20180708,P-3-A,10,0.583,0.548,
P. astreoides,20180708,P-19-A,1,0.748,0.704,
P. astreoides,20180708,P-19-A,2,0.667,0.66,
P. astreoides,20180708,P-19-A,3,0.834,0.722,
P. astreoides,20180708,P-19-A,4,0.804,0.633,
P. astreoides,20180708,P-19-A,5,0.79,0.748,
P. astreoides,20180708,P-19-A,6,0.657,0.622,
P. astreoides,20180708,P-19-A,7,0.766,0.749,
P. astreoides,20180708,P-19-A,8,0.766,0.736,
P. astreoides,20180708,P-19-A,9,0.642,0.591,
P. astreoides,20180708,P-19-A,10,0.833,0.799,
P. astreoides,20180708,R-14-B,1,0.941,0.729,
P. astreoides,20180708,R-14-B,2,0.753,0.745,
P. astreoides,20180708,R-14-B,3,0.787,0.742,
P. astreoides,20180708,R-14-B,4,0.66,0.591,
P. astreoides,20180708,R-14-B,5,0.725,0.722,
P. astreoides,20180708,R-14-B,6,0.922,0.728,
P. astreoides,20180708,R-14-B,7,0.725,0.61,
P. astreoides,20180708,R-14-B,8,0.781,0.747,
P. astreoides,20180708,R-14-B,9,0.754,0.729,
P. astreoides,20180708,R-14-B,10,0.688,0.646,
P. astreoides,20180708,P-15-A,1,0.583,0.616,
P. astreoides,20180708,P-15-A,2,0.634,0.576,
P. astreoides,20180708,P-15-A,3,0.796,0.698,
P. astreoides,20180708,P-15-A,4,0.696,0.683,
P. astreoides,20180708,P-15-A,5,0.713,0.385,
P. astreoides,20180708,P-15-A,6,0.836,0.814,
P. astreoides,20180708,P-15-A,7,0.712,0.686,
P. astreoides,20180708,P-15-A,8,0.602,0.583,
P. astreoides,20180708,P-15-A,9,0.619,0.589,
P. astreoides,20180708,P-15-A,10,0.464,0.376,
P. astreoides,20180708,R-7-B,1,0.945,0.777,
P. astreoides,20180708,R-7-B,2,0.746,0.742,
P. astreoides,20180708,R-7-B,3,1.047,0.8,
P. astreoides,20180708,R-7-B,4,1.058,0.752,
P. astreoides,20180708,R-7-B,5,0.906,0.746,
P. astreoides,20180708,R-7-B,6,0.74,0.74,
P. astreoides,20180708,R-7-B,7,0.992,0.748,
P. astreoides,20180708,R-7-B,8,0.734,0.706,
P. astreoides,20180708,R-7-B,9,0.94,0.661,
P. astreoides,20180708,R-7-B,10,0.915,0.778,
P. astreoides,20180708,R-15-A,1,0.843,0.753,
P. astreoides,20180708,R-15-A,2,0.755,0.728,
P. astreoides,20180708,R-15-A,3,0.64,0.638,
P. astreoides,20180708,R-15-A,4,1.057,0.931,
P. astreoides,20180708,R-15-A,5,0.631,0.558,
P. astreoides,20180708,R-15-A,6,0.956,0.889,
P. astreoides,20180708,R-15-A,7,0.711,0.698,
P. astreoides,20180708,R-15-A,8,0.597,0.567,
P. astreoides,20180708,R-15-A,9,0.7,0.676,
P. astreoides,20180708,R-15-A,10,0.615,0.589,
P. astreoides,20180708,P-14-B,1,0.748,0.73,
P. astreoides,20180708,P-14-B,2,0.826,0.816,
P. astreoides,20180708,P-14-B,3,0.73,0.679,
P. astreoides,20180708,P-14-B,4,0.747,0.725,
P. astreoides,20180708,P-14-B,5,0.724,0.721,
P. astreoides,20180708,P-14-B,6,0.793,0.694,
P. astreoides,20180708,P-14-B,7,0.769,0.767,
P. astreoides,20180708,P-14-B,8,0.768,0.728,
P. astreoides,20180708,P-14-B,9,0.779,0.758,
P. astreoides,20180708,P-14-B,10,0.708,0.7,
P. astreoides,20180709,P-10-B,1,0.658,0.61,
P. astreoides,20180709,P-10-B,2,0.873,0.858,
P. astreoides,20180709,P-10-B,3,0.639,0.627,
P. astreoides,20180709,P-10-B,4,0.801,0.751,
P. astreoides,20180709,P-10-B,5,0.699,0.604,
P. astreoides,20180709,P-10-B,6,0.607,0.498,
P. astreoides,20180709,P-10-B,7,0.773,0.76,
P. astreoides,20180709,P-10-B,8,0.91,0.716,
P. astreoides,20180709,P-10-B,9,0.833,0.822,
P. astreoides,20180709,P-10-B,10,0.868,0.849,
P. astreoides,20180709,P-10-A,1,0.743,0.714,
P. astreoides,20180709,P-10-A,2,0.692,0.676,
P. astreoides,20180709,P-10-A,3,0.689,0.579,
P. astreoides,20180709,P-10-A,4,0.782,0.67,
P. astreoides,20180709,P-10-A,5,0.751,0.716,
P. astreoides,20180709,P-10-A,6,0.719,0.701,
P. astreoides,20180709,P-10-A,7,0.739,0.544,
P. astreoides,20180709,P-10-A,8,0.615,0.565,
P. astreoides,20180709,P-10-A,9,0.642,0.685,
P. astreoides,20180709,P-10-A,10,0.762,0.646,
P. astreoides,20180709,P-19-B,1,0.817,0.796,
P. astreoides,20180709,P-19-B,2,1.043,1.025,
P. astreoides,20180709,P-19-B,3,0.899,0.858,
P. astreoides,20180709,P-19-B,4,0.98,0.951,
P. astreoides,20180709,P-19-B,5,0.909,0.841,
P. astreoides,20180709,P-19-B,6,0.969,0.954,
P. astreoides,20180709,P-19-B,7,0.822,0.805,
P. astreoides,20180709,P-19-B,8,1.163,1.106,
P. astreoides,20180709,P-19-B,9,0.817,0.794,
P. astreoides,20180709,P-19-B,10,0.907,0.846,
P. astreoides,20180709,P-14-B,1,0.781,0.67,
P. astreoides,20180709,P-14-B,2,0.783,0.684,
P. astreoides,20180709,P-14-B,3,0.735,0.698,
P. astreoides,20180709,P-14-B,4,0.802,0.747,
P. astreoides,20180709,P-14-B,5,0.707,0.687,
P. astreoides,20180709,P-14-B,6,0.832,0.802,
P. astreoides,20180709,P-14-B,7,0.812,0.797,
P. astreoides,20180709,P-14-B,8,0.804,0.786,
P. astreoides,20180709,P-14-B,9,0.89,0.837,
P. astreoides,20180709,P-14-B,10,0.777,0.771,
P. astreoides,20180709,P-9-A,1,0.858,0.842,
P. astreoides,20180709,P-9-A,2,0.852,0.811,
P. astreoides,20180709,P-9-A,3,0.697,0.786,
P. astreoides,20180709,P-9-A,4,0.706,0.655,
P. astreoides,20180709,P-9-A,5,0.841,0.788,
P. astreoides,20180709,P-9-A,6,0.824,0.818,
P. astreoides,20180709,P-9-A,7,0.896,0.759,
P. astreoides,20180709,P-9-A,8,0.789,0.736,
P. astreoides,20180709,P-9-A,9,0.82,0.802,
P. astreoides,20180709,P-9-A,10,0.57,0.531,
P. astreoides,20180709,P-19-A,1,0.79,0.77,
P. astreoides,20180709,P-19-A,2,0.732,0.699,
P. astreoides,20180709,P-19-A,3,0.911,0.874,
P. astreoides,20180709,P-19-A,4,0.831,0.816,
P. astreoides,20180709,P-19-A,5,0.899,0.872,
P. astreoides,20180709,P-19-A,6,0.942,0.891,
P. astreoides,20180709,P-19-A,7,0.889,0.871,
P. astreoides,20180709,P-19-A,8,0.847,0.835,
P. astreoides,20180709,P-19-A,9,0.863,0.861,
P. astreoides,20180709,P-19-A,10,0.906,0.819,
P. astreoides,20180709,P-14-A,1,0.686,0.677,
P. astreoides,20180709,P-14-A,2,0.719,0.674,
P. astreoides,20180709,P-14-A,3,0.8,0.789,
P. astreoides,20180709,P-14-A,4,0.808,0.796,
P. astreoides,20180709,P-14-A,5,0.766,0.755,
P. astreoides,20180709,P-14-A,6,0.845,0.844,
P. astreoides,20180709,P-14-A,7,0.616,0.614,
P. astreoides,20180709,P-14-A,8,0.762,0.71,
P. astreoides,20180709,P-14-A,9,0.718,0.679,
P. astreoides,20180709,P-14-A,10,0.695,0.685,
P. astreoides,20180709,R-7-B,1,0.894,0.739,
P. astreoides,20180709,R-7-B,2,0.948,0.901,
P. astreoides,20180709,R-7-B,3,0.931,0.708,
P. astreoides,20180709,R-7-B,4,0.829,0.764,
P. astreoides,20180709,R-7-B,5,0.987,0.741,
P. astreoides,20180709,R-7-B,6,0.798,0.785,
P. astreoides,20180709,R-7-B,7,1.057,0.953,
P. astreoides,20180709,R-7-B,8,1.039,0.98,
P. astreoides,20180709,R-7-B,9,0.842,0.752,
P. astreoides,20180709,R-7-B,10,0.798,0.714,
P. astreoides,20180709,P-12-B,1,0.738,0.716,
P. astreoides,20180709,P-12-B,2,0.753,0.723,
P. astreoides,20180709,P-12-B,3,0.622,0.613,
P. astreoides,20180709,P-12-B,4,0.73,0.714,
P. astreoides,20180709,P-12-B,5,0.67,0.64,
P. astreoides,20180709,P-12-B,6,0.655,0.641,
P. astreoides,20180709,P-12-B,7,0.632,0.624,
P. astreoides,20180709,P-12-B,8,0.767,0.762,
P. astreoides,20180709,P-12-B,9,0.717,0.702,
P. astreoides,20180709,P-12-B,10,0.701,0.698,
P. astreoides,20180709,P-6-A,1,0.749,0.755,
P. astreoides,20180709,P-6-A,2,0.883,0.862,
P. astreoides,20180709,P-6-A,3,0.71,0.689,
P. astreoides,20180709,P-6-A,4,0.751,0.686,
P. astreoides,20180709,P-6-A,5,0.756,0.727,
P. astreoides,20180709,P-6-A,6,0.769,0.757,
P. astreoides,20180709,P-6-A,7,0.822,0.756,
P. astreoides,20180709,P-6-A,8,0.655,0.653,
P. astreoides,20180709,P-6-A,9,0.764,0.729,
P. astreoides,20180709,P-6-A,10,0.634,0.6,
P. astreoides,20180709,R-15-B,1,1.017,0.994,
P. astreoides,20180709,R-15-B,2,1.024,0.8,
P. astreoides,20180709,R-15-B,3,1.067,1.003,
P. astreoides,20180709,R-15-B,4,1.027,0.768,
P. astreoides,20180709,R-15-B,5,1.02,0.864,
P. astreoides,20180709,R-15-B,6,0.96,0.942,
P. astreoides,20180709,R-15-B,7,0.88,0.813,
P. astreoides,20180709,R-15-B,8,0.985,0.972,
P. astreoides,20180709,R-15-B,9,0.935,0.842,
P. astreoides,20180709,R-15-B,10,0.725,0.707,
P. astreoides,20180709,P-15-B,1,0.655,0.6,
P. astreoides,20180709,P-15-B,2,0.698,0.529,
P. astreoides,20180709,P-15-B,3,0.857,0.721,
P. astreoides,20180709,P-15-B,4,0.987,0.74,
P. astreoides,20180709,P-15-B,5,0.858,0.509,
P. astreoides,20180709,P-15-B,6,0.594,0.491,
P. astreoides,20180709,P-15-B,7,0.753,0.603,
P. astreoides,20180709,P-15-B,8,0.749,0.703,
P. astreoides,20180709,P-15-B,9,0.71,0.55,
P. astreoides,20180709,P-15-B,10,0.534,0.534,
P. astreoides,20180709,P-15-B,11,0.943,0.904,
P. astreoides,20180709,R-8-A,1,0.714,0.695,
P. astreoides,20180709,R-8-A,2,0.87,0.85,
P. astreoides,20180709,R-8-A,3,0.968,0.924,
P. astreoides,20180709,R-8-A,4,0.963,0.918,
P. astreoides,20180709,R-8-A,5,1.005,0.916,
P. astreoides,20180709,R-8-A,6,1.009,0.988,
P. astreoides,20180709,R-8-A,7,0.966,0.965,
P. astreoides,20180709,R-8-A,8,1.06,0.911,
P. astreoides,20180709,R-8-A,9,0.872,0.872,
P. astreoides,20180709,R-8-A,10,0.903,0.858,
P. astreoides,20180709,R-7-A,1,0.644,0.599,
P. astreoides,20180709,R-7-A,2,0.708,0.532,
P. astreoides,20180709,R-7-A,3,0.668,0.658,
P. astreoides,20180709,R-7-A,4,0.629,0.568,
P. astreoides,20180709,R-7-A,5,0.962,0.752,
P. astreoides,20180709,R-7-A,6,0.656,0.6,
P. astreoides,20180709,R-7-A,7,0.508,0.472,
P. astreoides,20180709,R-7-A,8,1.079,1,
P. astreoides,20180709,R-7-A,9,0.785,0.746,
P. astreoides,20180709,R-7-A,10,0.721,0.604,
P. astreoides,20180709,P-16-A,1,0.569,0.587,
P. astreoides,20180709,P-16-A,2,0.76,0.751,
P. astreoides,20180709,P-16-A,3,0.719,0.702,
P. astreoides,20180709,P-16-A,4,0.617,0.607,
P. astreoides,20180709,P-16-A,5,0.667,0.595,
P. astreoides,20180709,P-16-A,6,0.86,0.84,
P. astreoides,20180709,P-16-A,7,0.737,0.722,
P. astreoides,20180709,P-16-A,8,0.579,0.577,
P. astreoides,20180709,P-16-A,9,0.631,0.592,
P. astreoides,20180709,P-16-A,10,0.75,0.694,
P. astreoides,20180709,P-4-A,1,0.789,0.493,
P. astreoides,20180709,P-4-A,2,0.807,0.69,
P. astreoides,20180709,P-4-A,3,0.782,0.717,
P. astreoides,20180709,P-4-A,4,0.745,0.666,
P. astreoides,20180709,P-4-A,5,0.633,0.627,
P. astreoides,20180709,P-4-A,6,0.737,0.707,
P. astreoides,20180709,P-4-A,7,0.808,0.742,
P. astreoides,20180709,P-4-A,8,0.664,0.663,
P. astreoides,20180709,P-4-A,9,0.788,0.614,
P. astreoides,20180709,P-4-A,10,0.728,0.719,
P. astreoides,20180709,R-19-A,1,0.986,0.868,
P. astreoides,20180709,R-19-A,2,0.985,0.777,
P. astreoides,20180709,R-19-A,3,0.873,0.868,
P. astreoides,20180709,R-19-A,4,0.965,0.504,
P. astreoides,20180709,R-19-A,5,0.88,0.674,
P. astreoides,20180709,R-19-A,6,0.891,0.701,
P. astreoides,20180709,R-19-A,7,0.952,0.896,
P. astreoides,20180709,R-19-A,8,0.845,0.777,
P. astreoides,20180709,R-19-A,9,1.031,0.795,
P. astreoides,20180709,R-19-A,10,1.168,1.004,
P. astreoides,20180709,R-11-B,1,0.771,0.762,
P. astreoides,20180709,R-11-B,2,0.635,0.626,
P. astreoides,20180709,R-11-B,3,0.793,0.725,
P. astreoides,20180709,R-11-B,4,0.735,0.718,
P. astreoides,20180709,R-11-B,5,0.732,0.705,
P. astreoides,20180709,R-11-B,6,0.776,0.742,
P. astreoides,20180709,R-11-B,7,0.669,0.637,
P. astreoides,20180709,R-11-B,8,0.674,0.659,
P. astreoides,20180709,R-11-B,9,0.69,0.652,
P. astreoides,20180709,R-9-A,1,0.841,0.806,
P. astreoides,20180709,R-9-A,2,0.946,0.885,
P. astreoides,20180709,R-9-A,3,0.717,0.687,
P. astreoides,20180709,R-9-A,4,0.754,0.556,
P. astreoides,20180709,R-9-A,5,0.747,0.734,
P. astreoides,20180709,R-9-A,6,0.76,0.729,
P. astreoides,20180709,R-9-A,7,0.933,0.888,
P. astreoides,20180709,R-9-A,8,0.864,0.627,
P. astreoides,20180709,R-9-A,9,0.809,0.795,
P. astreoides,20180709,R-9-A,10,0.871,0.827,
P. astreoides,20180709,P-15-A,1,0.877,0.812,
P. astreoides,20180709,P-15-A,2,0.904,0.886,
P. astreoides,20180709,P-15-A,3,0.954,0.879,
P. astreoides,20180709,P-15-A,4,0.709,0.707,
P. astreoides,20180709,P-15-A,5,0.754,0.74,
P. astreoides,20180709,P-15-A,6,0.664,0.63,
P. astreoides,20180709,P-15-A,7,0.803,0.798,
P. astreoides,20180709,P-15-A,8,0.733,0.714,
P. astreoides,20180709,P-15-A,9,0.719,0.709,
P. astreoides,20180709,P-15-A,10,0.793,0.765,
P. astreoides,20180709,P-12-A,1,0.723,0.717,
P. astreoides,20180709,P-12-A,2,0.751,0.693,
P. astreoides,20180709,P-12-A,3,0.705,0.681,
P. astreoides,20180709,P-12-A,4,0.712,0.692,
P. astreoides,20180709,P-12-A,5,0.76,0.735,
P. astreoides,20180709,P-12-A,6,0.717,0.711,
P. astreoides,20180709,P-12-A,7,0.722,0.699,
P. astreoides,20180709,P-12-A,8,0.734,0.718,
P. astreoides,20180709,P-12-A,9,0.693,0.665,
P. astreoides,20180709,P-12-A,10,0.737,0.691,
P. astreoides,20180710,R-14-B,1,0.937,0.895,
P. astreoides,20180710,R-14-B,2,1.062,0.993,
P. astreoides,20180710,R-14-B,3,0.932,0.892,
P. astreoides,20180710,R-14-B,4,1.062,1.042,
P. astreoides,20180710,R-14-B,5,0.943,0.747,
P. astreoides,20180710,R-14-B,6,0.995,0.876,
P. astreoides,20180710,R-14-B,7,1.11,1.063,
P. astreoides,20180710,R-14-B,8,0.842,0.692,
P. astreoides,20180710,R-14-B,9,0.921,0.913,
P. astreoides,20180710,R-14-B,10,1.045,0.928,
P. astreoides,20180710,R-8-A,1,0.903,0.828,
P. astreoides,20180710,R-8-A,2,0.774,0.733,
P. astreoides,20180710,R-8-A,3,0.763,0.743,
P. astreoides,20180710,R-8-A,4,0.913,0.855,
P. astreoides,20180710,R-8-A,5,0.806,0.795,
P. astreoides,20180710,R-8-A,6,0.784,0.774,
P. astreoides,20180710,R-8-A,7,0.875,0.842,
P. astreoides,20180710,R-8-A,8,0.909,0.788,
P. astreoides,20180710,R-8-A,9,0.918,0.874,
P. astreoides,20180710,R-8-A,10,0.818,0.745,
P. astreoides,20180710,P-14-B,1,0.774,0.752,
P. astreoides,20180710,P-14-B,2,0.738,0.729,
P. astreoides,20180710,P-14-B,3,0.779,0.757,
P. astreoides,20180710,P-14-B,4,0.778,0.763,
P. astreoides,20180710,P-14-B,5,0.762,0.744,
P. astreoides,20180710,P-14-B,6,0.761,0.75,
P. astreoides,20180710,P-14-B,7,0.731,0.713,
P. astreoides,20180710,P-14-B,8,0.74,0.736,
P. astreoides,20180710,P-14-A,1,0.763,0.731,
P. astreoides,20180710,P-14-A,2,0.814,0.808,
P. astreoides,20180710,P-14-A,3,0.682,0.778,
P. astreoides,20180710,P-14-A,4,0.621,0.606,
P. astreoides,20180710,P-14-A,5,0.674,0.532,
P. astreoides,20180710,P-14-A,6,0.599,0.542,
P. astreoides,20180710,P-14-A,7,0.636,0.636,
P. astreoides,20180710,P-14-A,8,0.631,0.6,
P. astreoides,20180710,P-14-A,9,0.634,0.511,
P. astreoides,20180710,P-14-A,10,0.714,0.699,
P. astreoides,20180710,P-19-A,1,0.889,0.852,
P. astreoides,20180710,P-19-A,2,0.839,0.801,
P. astreoides,20180710,P-19-A,3,0.84,0.805,
P. astreoides,20180710,P-19-A,4,0.787,0.764,
P. astreoides,20180710,P-19-A,5,0.818,0.793,
P. astreoides,20180710,P-19-A,6,0.904,0.841,
P. astreoides,20180710,P-19-A,7,0.832,0.831,
P. astreoides,20180710,P-19-A,8,0.914,0.846,
P. astreoides,20180710,P-19-A,9,0.903,0.875,
P. astreoides,20180710,P-19-A,10,0.864,0.809,
P. astreoides,20180710,R-15-A,1,1.074,0.923,
P. astreoides,20180710,R-15-A,2,0.994,0.741,
P. astreoides,20180710,R-15-A,3,0.698,1.027,
P. astreoides,20180710,R-15-A,4,0.995,0.954,
P. astreoides,20180710,R-15-A,5,1.048,1.032,
P. astreoides,20180710,R-15-A,6,1.032,1.006,
P. astreoides,20180710,R-15-A,7,1.055,0.998,
P. astreoides,20180710,R-15-A,8,1.085,1.047,
P. astreoides,20180710,R-15-A,9,0.96,0.854,
P. astreoides,20180710,R-15-A,10,0.922,0.895,
P. astreoides,20180710,P-12-A,1,0.867,0.826,
P. astreoides,20180710,P-12-A,2,0.881,0.804,
P. astreoides,20180710,P-12-A,3,0.706,0.672,
P. astreoides,20180710,P-12-A,4,0.772,0.765,
P. astreoides,20180710,P-12-A,5,0.803,0.726,
P. astreoides,20180710,P-12-A,6,0.741,0.715,
P. astreoides,20180710,P-12-A,7,0.725,0.703,
P. astreoides,20180710,P-12-A,8,0.733,0.706,
P. astreoides,20180710,P-12-A,9,0.722,0.693,
P. astreoides,20180710,P-12-A,10,0.58,0.565,
P. astreoides,20180710,P-15-B,1,0.682,0.674,
P. astreoides,20180710,P-15-B,2,0.629,0.61,
