Sample.ID,Coral.ID,History,Timepoint,LifeStage,Group,File_Name,Origin,Treatment,Transplant,Col_Life
18-44,R-19-B,Rim-Heated-Rim,2018,Adult,A-RHR,18-44_S198_L004_R1_001_val_1,Rim,Heated,Rim,R-19-B_Adult
18-466,R-15-B,Rim-Heated-Rim,2018,Adult,A-RHR,18-466_S199_L004_R1_001_val_1,Rim,Heated,Rim,R-15-B_Adult
18-91,R-14-B,Rim-Heated-Rim,2018,Adult,A-RHR,18-91_S160_L004_R1_001_val_1,Rim,Heated,Rim,R-14-B_Adult
L-1029,P-4-A,Patch-Ambient-Patch,2018,Larvae,L-PAP,L-1029_S183_L004_R1_001_val_1,Patch,Ambient,Patch,P-4-A_Larvae
L-728,P-6-A,Patch-Ambient-Patch,2018,Larvae,L-PAP,L-728_S161_L004_R1_001_val_1,Patch,Ambient,Patch,P-6-A_Larvae
L-924,P-9-A,Patch-Ambient-Patch,2018,Larvae,L-PAP,L-924_S204_L004_R1_001_val_1,Patch,Ambient,Patch,P-9-A_Larvae
L-933,P-10-A,Patch-Ambient-Patch,2018,Larvae,L-PAP,L-933_S203_L004_R1_001_val_1,Patch,Ambient,Patch,P-10-A_Larvae
L-1053,P-12-A,Patch-Heated-Patch,2018,Larvae,L-PHP,L-1053_S167_L004_R1_001_val_1,Patch,Heated,Patch,P-12-A_Larvae
L-1257,P-19-A,Patch-Heated-Patch,2018,Larvae,L-PHP,L-1257_S205_L004_R1_001_val_1,Patch,Heated,Patch,P-19-A_Larvae
L-704,P-15-A,Patch-Heated-Patch,2018,Larvae,L-PHP,L-704_S169_L004_R1_001_val_1,Patch,Heated,Patch,P-15-A_Larvae
L-862,P-14-A,Patch-Heated-Patch,2018,Larvae,L-PHP,L-862_S200_L004_R1_001_val_1,Patch,Heated,Patch,P-14-A_Larvae
L-1038,R-8-A,Rim-Ambient-Patch,2018,Larvae,L-RAP,L-1038_S184_L004_R1_001_val_1,Rim,Ambient,Patch,R-8-A_Larvae
L-1263,R-7-A,Rim-Ambient-Patch,2018,Larvae,L-RAP,L-1263_S173_L004_R1_001_val_1,Rim,Ambient,Patch,R-7-A_Larvae
L-562,R-5-A,Rim-Ambient-Patch,2018,Larvae,L-RAP,L-562_S174_L004_R1_001_val_1,Rim,Ambient,Patch,R-5-A_Larvae
L-661,R-9-A,Rim-Ambient-Patch,2018,Larvae,L-RAP,L-661_S182_L004_R1_001_val_1,Rim,Ambient,Patch,R-9-A_Larvae
L-1059,R-15-A,Rim-Heated-Patch,2018,Larvae,L-RHP,L-1059_S175_L004_R1_001_val_1,Rim,Heated,Patch,R-15-A_Larvae
L-1093,R-19-A,Rim-Heated-Patch,2018,Larvae,L-RHP,L-1093_S168_L004_R1_001_val_1,Rim,Heated,Patch,R-19-A_Larvae
L-571,R-11-A,Rim-Heated-Patch,2018,Larvae,L-RHP,L-571_S194_L004_R1_001_val_1,Rim,Heated,Patch,R-11-A_Larvae
